,country,year,age,total_pop,total_suicides,suicide_rate
1089,Singapore,1992,5-14 years,406800,3,0.737463127
1095,Singapore,1993,5-14 years,417100,1,0.239750659
1101,Singapore,1994,5-14 years,430800,3,0.69637883
1107,Singapore,1995,5-14 years,440200,2,0.454338937
1113,Singapore,1996,5-14 years,451600,4,0.885739593
1119,Singapore,1997,5-14 years,461700,4,0.866363439
1125,Singapore,1998,5-14 years,472000,3,0.63559322
1131,Singapore,1999,5-14 years,484300,5,1.032417923
1137,Singapore,2000,5-14 years,491900,6,1.219760114
1143,Singapore,2001,5-14 years,501100,5,0.997804829
1149,Singapore,2002,5-14 years,510900,0,0
1155,Singapore,2003,5-14 years,513000,4,0.779727096
1161,Singapore,2004,5-14 years,504100,5,0.991866693
1167,Singapore,2005,5-14 years,504900,3,0.594177065
1173,Singapore,2006,5-14 years,501600,2,0.398724083
1179,Singapore,2007,5-14 years,484900,0,0
1185,Singapore,2008,5-14 years,477400,1,0.209467951
1191,Singapore,2009,5-14 years,470100,5,1.063603489
1197,Singapore,2010,5-14 years,460000,1,0.217391304
1203,Singapore,2011,5-14 years,448600,0,0
1209,Singapore,2012,5-14 years,439600,2,0.454959054
1215,Singapore,2013,5-14 years,431948,0,0
1221,Singapore,2014,5-14 years,426586,2,0.46883864
1227,Singapore,2015,5-14 years,418840,3,0.716263967
1233,Singapore,2017,5-14 years,418840,1,0.238754656
1239,Singapore,2018,5-14 years,418840,1,0.238754656
1245,Singapore,2019,5-14 years,418840,3,0.716263967
1251,Singapore,2020,5-14 years,418840,4,0.955018623
1048,Singapore,1985,55-74 years,247500,64,25.85858586
1054,Singapore,1986,55-74 years,254300,64,25.16712544
1060,Singapore,1987,55-74 years,261200,71,27.18223583
1066,Singapore,1988,55-74 years,267600,66,24.66367713
1072,Singapore,1989,55-74 years,276300,74,26.78248281
1078,Singapore,1990,55-74 years,288000,66,22.91666667
1084,Singapore,1991,55-74 years,295100,63,21.34869536
1090,Singapore,1992,55-74 years,300400,53,17.64314248
1096,Singapore,1993,55-74 years,309100,52,16.82303462
1102,Singapore,1994,55-74 years,323000,63,19.50464396
1108,Singapore,1995,55-74 years,337500,74,21.92592593
1114,Singapore,1996,55-74 years,352100,40,11.36040897
1120,Singapore,1997,55-74 years,362300,54,14.90477505
1126,Singapore,1998,55-74 years,371700,80,21.52273339
1132,Singapore,1999,55-74 years,384000,59,15.36458333
1138,Singapore,2000,55-74 years,390800,64,16.37666325
1144,Singapore,2001,55-74 years,402700,60,14.89942886
1150,Singapore,2002,55-74 years,426900,51,11.94659171
1156,Singapore,2003,55-74 years,451600,65,14.39326838
1162,Singapore,2004,55-74 years,478300,78,16.30775664
1168,Singapore,2005,55-74 years,504500,83,16.45193261
1174,Singapore,2006,55-74 years,532200,97,18.22623074
1180,Singapore,2007,55-74 years,548800,81,14.75947522
1186,Singapore,2008,55-74 years,579100,78,13.46917631
1192,Singapore,2009,55-74 years,613400,83,13.53113792
1198,Singapore,2010,55-74 years,644800,76,11.7866005
1204,Singapore,2011,55-74 years,681300,110,16.14560399
1210,Singapore,2012,55-74 years,719100,126,17.52190238
1216,Singapore,2013,55-74 years,754786,114,15.10361877
1222,Singapore,2014,55-74 years,787907,131,16.62632773
1228,Singapore,2015,55-74 years,820612,101,12.30788728
1234,Singapore,2017,55-74 years,820612,108,13.16090918
1240,Singapore,2018,55-74 years,820612,117,14.25765161
1246,Singapore,2019,55-74 years,820612,112,13.64835026
1252,Singapore,2020,55-74 years,820612,133,16.20741593
1049,Singapore,1985,75+ years,40400,42,103.960396
1055,Singapore,1986,75+ years,43200,44,101.8518519
1061,Singapore,1987,75+ years,46000,33,71.73913043
1067,Singapore,1988,75+ years,53400,57,106.741573
1073,Singapore,1989,75+ years,56300,58,103.0195382
1079,Singapore,1990,75+ years,59500,42,70.58823529
1085,Singapore,1991,75+ years,61700,37,59.96758509
1091,Singapore,1992,75+ years,64200,35,54.51713396
1097,Singapore,1993,75+ years,66300,46,69.38159879
1103,Singapore,1994,75+ years,68000,47,69.11764706
1109,Singapore,1995,75+ years,70000,56,80
1115,Singapore,1996,75+ years,71400,47,65.82633053
1121,Singapore,1997,75+ years,73200,39,53.27868852
1127,Singapore,1998,75+ years,75200,40,53.19148936
1133,Singapore,1999,75+ years,77500,29,37.41935484
1139,Singapore,2000,75+ years,80000,27,33.75
1145,Singapore,2001,75+ years,85000,30,35.29411765
1151,Singapore,2002,75+ years,90800,38,41.85022026
1157,Singapore,2003,75+ years,96400,38,39.41908714
1163,Singapore,2004,75+ years,103000,38,36.89320388
1169,Singapore,2005,75+ years,108400,43,39.66789668
1175,Singapore,2006,75+ years,114300,33,28.87139108
1181,Singapore,2007,75+ years,113300,44,38.83495146
1187,Singapore,2008,75+ years,119300,41,34.36714166
1193,Singapore,2009,75+ years,126300,40,31.67062549
1199,Singapore,2010,75+ years,134200,39,29.06110283
1205,Singapore,2011,75+ years,140200,30,21.39800285
1211,Singapore,2012,75+ years,145400,36,24.75928473
1217,Singapore,2013,75+ years,152874,39,25.51120531
1223,Singapore,2014,75+ years,163588,39,23.84037949
1229,Singapore,2015,75+ years,174659,28,16.03123801
1235,Singapore,2017,75+ years,174659,51,29.19975495
1241,Singapore,2018,75+ years,174659,32,18.32141487
1247,Singapore,2019,75+ years,174659,35,20.03904752
1253,Singapore,2020,75+ years,174659,44,25.19194545
1254,South Africa,1996,15-24 years,8747911,39,0.445820722
1260,South Africa,1997,15-24 years,8940823,28,0.313170275
1266,South Africa,1998,15-24 years,9121173,52,0.570102113
1272,South Africa,1999,15-24 years,9290128,68,0.731959775
1278,South Africa,2000,15-24 years,9447382,59,0.624511637
1284,South Africa,2001,15-24 years,9597346,113,1.177408838
1290,South Africa,2002,15-24 years,9746473,81,0.831069865
1296,South Africa,2003,15-24 years,9887478,71,0.71807998
1302,South Africa,2004,15-24 years,10009423,100,0.999058587
1308,South Africa,2005,15-24 years,10105109,121,1.1974141
1314,South Africa,2006,15-24 years,10168480,127,1.248957563
1320,South Africa,2007,15-24 years,10209576,130,1.273314386
1326,South Africa,2008,15-24 years,9992770,127,1.270918874
1332,South Africa,2009,15-24 years,10253459,113,1.102067117
1338,South Africa,2010,15-24 years,10274503,88,0.856489117
1344,South Africa,2011,15-24 years,10272658,111,1.08053826
1350,South Africa,2012,15-24 years,10275104,155,1.508500547
1356,South Africa,2013,15-24 years,10280221,151,1.468840018
1362,South Africa,2014,15-24 years,10287628,176,1.710792809
1368,South Africa,2015,15-24 years,10296412,124,1.204303014
1374,South Africa,2017,15-24 years,10296412,86,0.835242413
1380,South Africa,2018,15-24 years,10296412,88,0.854666655
1255,South Africa,1996,25-34 years,6730260,33,0.490322811
1261,South Africa,1997,25-34 years,6897445,25,0.362453053
1267,South Africa,1998,25-34 years,7064937,46,0.651102763
1273,South Africa,1999,25-34 years,7235271,85,1.174800502
1279,South Africa,2000,25-34 years,7409987,72,0.971661624
1285,South Africa,2001,25-34 years,7551306,117,1.549400859
1291,South Africa,2002,25-34 years,7701045,52,0.675233037
1297,South Africa,2003,25-34 years,7858118,73,0.928975615
1303,South Africa,2004,25-34 years,8021008,110,1.371398707
1309,South Africa,2005,25-34 years,8189315,140,1.709544693
1315,South Africa,2006,25-34 years,8326722,171,2.053629267
1321,South Africa,2007,25-34 years,8473004,104,1.227427722
1327,South Africa,2008,25-34 years,8227170,123,1.495046292
1333,South Africa,2009,25-34 years,8803909,98,1.113141901
1339,South Africa,2010,25-34 years,8991167,126,1.401375372
1345,South Africa,2011,25-34 years,9154619,103,1.125115092
1351,South Africa,2012,25-34 years,9329058,147,1.575721793
1357,South Africa,2013,25-34 years,9507034,196,2.061631419
1363,South Africa,2014,25-34 years,9675132,186,1.922454391
1369,South Africa,2015,25-34 years,9823216,153,1.557534722
1375,South Africa,2017,25-34 years,9823216,124,1.262315722
1381,South Africa,2018,25-34 years,9823216,103,1.048536447
1256,South Africa,1996,35-54 years,8332971,44,0.528022958
1262,South Africa,1997,35-54 years,8572622,28,0.32662119
1268,South Africa,1998,35-54 years,8811100,52,0.590164679
1274,South Africa,1999,35-54 years,9054823,90,0.993945437
1280,South Africa,2000,35-54 years,9307426,97,1.042178579
1286,South Africa,2001,35-54 years,9515276,120,1.261129998
1292,South Africa,2002,35-54 years,9725200,76,0.781474931
1298,South Africa,2003,35-54 years,9932908,75,0.755065888
1304,South Africa,2004,35-54 years,10132151,115,1.13500085
1310,South Africa,2005,35-54 years,10320660,137,1.327434486
1316,South Africa,2006,35-54 years,10491286,136,1.296313912
1322,South Africa,2007,35-54 years,10649127,129,1.211366904
1328,South Africa,2008,35-54 years,9815484,138,1.405941877
1334,South Africa,2009,35-54 years,10959710,104,0.948930218
1340,South Africa,2010,35-54 years,11131712,113,1.01511789
1346,South Africa,2011,35-54 years,11380601,100,0.878688217
1352,South Africa,2012,35-54 years,11639965,114,0.979384388
1358,South Africa,2013,35-54 years,11907007,157,1.318551337
1364,South Africa,2014,35-54 years,12181115,150,1.231414366
1370,South Africa,2015,35-54 years,12462796,127,1.019032968
1376,South Africa,2017,35-54 years,12462796,110,0.88262698
1382,South Africa,2018,35-54 years,12462796,81,0.649934413
1257,South Africa,1996,5-14 years,10194228,2,0.019618945
1263,South Africa,1997,5-14 years,10238875,0,0
1269,South Africa,1998,5-14 years,10249073,5,0.0487849
1275,South Africa,1999,5-14 years,10235934,6,0.058617025
1281,South Africa,2000,5-14 years,10209251,6,0.058770227
1287,South Africa,2001,5-14 years,10218977,7,0.068500007
1293,South Africa,2002,5-14 years,10223527,6,0.058688161
1299,South Africa,2003,5-14 years,10223414,7,0.068470278
1305,South Africa,2004,5-14 years,10217875,11,0.107654478
1311,South Africa,2005,5-14 years,10204520,8,0.078396632
1317,South Africa,2006,5-14 years,10208623,16,0.156730247
1323,South Africa,2007,5-14 years,10216969,8,0.078301109
1329,South Africa,2008,5-14 years,10461795,7,0.066910124
1335,South Africa,2009,5-14 years,10256188,8,0.07800169
1341,South Africa,2010,5-14 years,10288779,10,0.097193263
1347,South Africa,2011,5-14 years,10324443,3,0.029057258
1353,South Africa,2012,5-14 years,10373207,14,0.134963083
1359,South Africa,2013,5-14 years,10431663,15,0.143792989
1365,South Africa,2014,5-14 years,10495542,7,0.066694983
1371,South Africa,2015,5-14 years,10561595,17,0.160960537
1377,South Africa,2017,5-14 years,10561595,17,0.160960537
1383,South Africa,2018,5-14 years,10561595,12,0.113619202
1258,South Africa,1996,55-74 years,3281712,18,0.548494201
1264,South Africa,1997,55-74 years,3371291,18,0.533920092
1270,South Africa,1998,55-74 years,3462043,19,0.548808897
1276,South Africa,1999,55-74 years,3552996,22,0.619195744
1282,South Africa,2000,55-74 years,3644322,28,0.768318497
1288,South Africa,2001,55-74 years,3724768,21,0.563793503
1294,South Africa,2002,55-74 years,3805034,18,0.473057534
1300,South Africa,2003,55-74 years,3889709,21,0.539886146
1306,South Africa,2004,55-74 years,3984574,39,0.978774644
1312,South Africa,2005,55-74 years,4092502,39,0.952962271
1318,South Africa,2006,55-74 years,4198952,48,1.143142384
1324,South Africa,2007,55-74 years,4316854,36,0.833940643
1330,South Africa,2008,55-74 years,4447018,35,0.787044262
1336,South Africa,2009,55-74 years,4580942,42,0.916841995
1342,South Africa,2010,55-74 years,4723051,43,0.91042845
1348,South Africa,2011,55-74 years,4873534,35,0.718164683
1354,South Africa,2012,55-74 years,5035743,48,0.953186054
1360,South Africa,2013,55-74 years,5208885,59,1.132680027
1366,South Africa,2014,55-74 years,5391483,51,0.945936396
1372,South Africa,2015,55-74 years,5581997,51,0.913651512
1378,South Africa,2017,55-74 years,5581997,34,0.609101008
1384,South Africa,2018,55-74 years,5581997,25,0.447868388
1259,South Africa,1996,75+ years,486570,7,1.438641922
1265,South Africa,1997,75+ years,507101,5,0.985996872
1271,South Africa,1998,75+ years,524142,6,1.144727955
1277,South Africa,1999,75+ years,538408,8,1.485862023
1283,South Africa,2000,75+ years,550191,5,0.908775316
1289,South Africa,2001,75+ years,577926,6,1.038195201
1295,South Africa,2002,75+ years,602589,3,0.49785177
1301,South Africa,2003,75+ years,623682,9,1.443043089
1307,South Africa,2004,75+ years,640843,8,1.248355682
1313,South Africa,2005,75+ years,654001,13,1.987764545
1319,South Africa,2006,75+ years,684994,16,2.335786883
1325,South Africa,2007,75+ years,711905,10,1.404681804
1331,South Africa,2008,75+ years,736349,11,1.493856853
1337,South Africa,2009,75+ years,752840,7,0.929812444
1343,South Africa,2010,75+ years,766988,13,1.694941772
1349,South Africa,2011,75+ years,800884,6,0.749172165
1355,South Africa,2012,75+ years,831179,9,1.082799253
1361,South Africa,2013,75+ years,857889,9,1.04908677
1367,South Africa,2014,75+ years,881229,10,1.134778815
1373,South Africa,2015,75+ years,901444,10,1.109331251
1379,South Africa,2017,75+ years,901444,5,0.554665625
1385,South Africa,2018,75+ years,901444,5,0.554665625
1386,Sri Lanka,1985,15-24 years,3325000,2375,71.42857143
1392,Sri Lanka,1986,15-24 years,3382700,2108,62.31708399
1398,Sri Lanka,1996,15-24 years,3499156,1268,36.2373098
1404,Sri Lanka,1997,15-24 years,3517840,1547,43.97584882
1410,Sri Lanka,1998,15-24 years,3545810,1262,35.59130354
1416,Sri Lanka,1999,15-24 years,3573147,1301,36.41048073
1422,Sri Lanka,2000,15-24 years,3592123,1119,31.15149453
1428,Sri Lanka,2001,15-24 years,3590573,902,25.12133857
1434,Sri Lanka,2002,15-24 years,3572650,855,23.93181532
1440,Sri Lanka,2003,15-24 years,3541939,867,24.47811778
1446,Sri Lanka,2006,15-24 years,3396542,756,22.25793174
1387,Sri Lanka,1985,25-34 years,2556000,1450,56.72926448
1393,Sri Lanka,1986,25-34 years,2600700,1410,54.21617257
1399,Sri Lanka,1996,25-34 years,3040880,1202,39.52803136
1405,Sri Lanka,1997,25-34 years,3029407,1450,47.86415295
1411,Sri Lanka,1998,25-34 years,3008581,1278,42.47849734
1417,Sri Lanka,1999,25-34 years,2983471,1300,43.57340829
1423,Sri Lanka,2000,25-34 years,2959913,1161,39.22412584
1429,Sri Lanka,2001,25-34 years,2973389,979,32.92539254
1435,Sri Lanka,2002,25-34 years,2992774,852,28.4685713
1441,Sri Lanka,2003,25-34 years,3017850,836,27.70184071
1447,Sri Lanka,2006,25-34 years,3135601,767,24.46102039
1388,Sri Lanka,1985,35-54 years,2871000,1027,35.77150819
1394,Sri Lanka,1986,35-54 years,2920600,1044,35.74607957
1400,Sri Lanka,1996,35-54 years,4231675,1439,34.00544702
1406,Sri Lanka,1997,35-54 years,4366577,1804,41.31382545
1412,Sri Lanka,1998,35-54 years,4495566,1845,41.04043851
1418,Sri Lanka,1999,35-54 years,4616305,1913,41.44006949
1424,Sri Lanka,2000,35-54 years,4725991,1830,38.72203735
1430,Sri Lanka,2001,35-54 years,4800168,1712,35.66541838
1436,Sri Lanka,2002,35-54 years,4867626,1680,34.51374448
1442,Sri Lanka,2003,35-54 years,4927659,1701,34.51943408
1448,Sri Lanka,2006,35-54 years,5068798,1444,28.48801629
1389,Sri Lanka,1985,5-14 years,3604000,126,3.496115427
1395,Sri Lanka,1986,5-14 years,3668500,83,2.262505111
1401,Sri Lanka,1996,5-14 years,3609772,63,1.745262582
1407,Sri Lanka,1997,5-14 years,3550256,85,2.394193545
1413,Sri Lanka,1998,5-14 years,3491297,92,2.635123852
1419,Sri Lanka,1999,5-14 years,3435740,70,2.037406789
1425,Sri Lanka,2000,5-14 years,3383139,48,1.418800705
1431,Sri Lanka,2001,5-14 years,3340320,33,0.9879293
1437,Sri Lanka,2002,5-14 years,3308459,52,1.571728711
1443,Sri Lanka,2003,5-14 years,3284817,34,1.035065272
1449,Sri Lanka,2006,5-14 years,3256315,26,0.798448553
1390,Sri Lanka,1985,55-74 years,1280000,523,40.859375
1396,Sri Lanka,1986,55-74 years,1302300,533,40.92758965
1402,Sri Lanka,1996,55-74 years,1885102,750,39.78564555
1408,Sri Lanka,1997,55-74 years,1914483,767,40.06303529
1414,Sri Lanka,1998,55-74 years,1953168,795,40.70310388
1420,Sri Lanka,1999,55-74 years,2004655,804,40.10665177
1426,Sri Lanka,2000,55-74 years,2071363,854,41.22889131
1432,Sri Lanka,2001,55-74 years,2134965,771,36.11300419
1438,Sri Lanka,2002,55-74 years,2208784,747,33.81951336
1444,Sri Lanka,2003,55-74 years,2290559,801,34.96962968
1450,Sri Lanka,2006,55-74 years,2532870,760,30.00548785
1391,Sri Lanka,1985,75+ years,221000,167,75.56561086
1397,Sri Lanka,1986,75+ years,226600,167,73.69814651
1403,Sri Lanka,1996,75+ years,387842,176,45.37930394
1409,Sri Lanka,1997,75+ years,396846,234,58.96493854
1415,Sri Lanka,1998,75+ years,403269,246,61.00146552
1421,Sri Lanka,1999,75+ years,406969,231,56.76108008
1427,Sri Lanka,2000,75+ years,407813,240,58.85050256
1433,Sri Lanka,2001,75+ years,427546,193,45.14134152
1439,Sri Lanka,2002,75+ years,445662,196,43.97951811
1445,Sri Lanka,2003,75+ years,461772,228,49.37501624
1451,Sri Lanka,2006,75+ years,501432,262,52.25035498
1452,Sweden,1987,15-24 years,1179300,134,11.36267277
1458,Sweden,1988,15-24 years,1182700,144,12.17553057
1464,Sweden,1989,15-24 years,1181000,168,14.22523285
1470,Sweden,1990,15-24 years,1171700,118,10.07083725
1476,Sweden,1991,15-24 years,1153000,128,11.10147441
1482,Sweden,1992,15-24 years,1129800,95,8.408567888
1488,Sweden,1993,15-24 years,1109800,104,9.371057848
1494,Sweden,1994,15-24 years,1099500,93,8.458390177
1500,Sweden,1995,15-24 years,1092200,103,9.430507233
1506,Sweden,1996,15-24 years,1078000,90,8.348794063
1512,Sweden,1997,15-24 years,1060700,97,9.144904308
1518,Sweden,1998,15-24 years,1044700,85,8.136307074
1524,Sweden,1999,15-24 years,1031217,110,10.66700801
1530,Sweden,2000,15-24 years,1025194,89,8.681283738
1536,Sweden,2001,15-24 years,1030012,77,7.47564106
1542,Sweden,2002,15-24 years,1041962,101,9.693251769
1548,Sweden,2003,15-24 years,1061274,95,8.951505455
1554,Sweden,2004,15-24 years,1085164,122,11.2425403
1560,Sweden,2005,15-24 years,1111329,104,9.358164864
1566,Sweden,2006,15-24 years,1143474,124,10.84414687
1572,Sweden,2007,15-24 years,1177928,104,8.829062557
1578,Sweden,2008,15-24 years,1208150,136,11.25688035
1584,Sweden,2009,15-24 years,1232866,134,10.86898333
1590,Sweden,2010,15-24 years,1247304,118,9.4604042
1596,Sweden,2011,15-24 years,1246930,121,9.703832613
1602,Sweden,2012,15-24 years,1237510,117,9.454469055
1608,Sweden,2013,15-24 years,1223674,147,12.01300346
1614,Sweden,2014,15-24 years,1207167,124,10.27198391
1620,Sweden,2015,15-24 years,1207167,107,8.863728051
1626,Sweden,2016,15-24 years,1176379,106,9.010701483
1631,Sweden,2017,15-24 years,1176379,123,10.45581399
1637,Sweden,2018,15-24 years,1176379,137,11.64590663
1453,Sweden,1987,25-34 years,1134400,231,20.36318759
1459,Sweden,1988,25-34 years,1138900,237,20.80955308
1465,Sweden,1989,25-34 years,1156600,271,23.43074529
1471,Sweden,1990,25-34 years,1181200,220,18.62512699
1477,Sweden,1991,25-34 years,1201500,224,18.64336246
1483,Sweden,1992,25-34 years,1218300,194,15.92382829
1489,Sweden,1993,25-34 years,1232500,190,15.4158215
1495,Sweden,1994,25-34 years,1243700,190,15.27699606
1501,Sweden,1995,25-34 years,1250000,173,13.84
1507,Sweden,1996,25-34 years,1253800,186,14.8349019
1513,Sweden,1997,25-34 years,1256200,167,13.29406146
1519,Sweden,1998,25-34 years,1253400,154,12.2865805
1525,Sweden,1999,25-34 years,1243519,148,11.90170798
1531,Sweden,2000,25-34 years,1228262,144,11.72388302
1537,Sweden,2001,25-34 years,1210013,133,10.99161745
1543,Sweden,2002,25-34 years,1190202,137,11.51065113
1549,Sweden,2003,25-34 years,1172707,143,12.19400925
1555,Sweden,2004,25-34 years,1161706,116,9.985314701
1561,Sweden,2005,25-34 years,1156347,135,11.67469626
1567,Sweden,2006,25-34 years,1152058,120,10.41614224
1573,Sweden,2007,25-34 years,1148718,131,11.40401735
1579,Sweden,2008,25-34 years,1147890,138,12.02205786
1585,Sweden,2009,25-34 years,1149978,144,12.52197868
1591,Sweden,2010,25-34 years,1157811,137,11.8326739
1597,Sweden,2011,25-34 years,1172020,153,13.05438474
1603,Sweden,2012,25-34 years,1190398,140,11.76077245
1609,Sweden,2013,25-34 years,1215896,157,12.91228855
1615,Sweden,2014,25-34 years,1248189,156,12.49810726
1621,Sweden,2015,25-34 years,1248189,156,12.49810726
1627,Sweden,2016,25-34 years,1311730,158,12.04516173
1632,Sweden,2017,25-34 years,1311730,187,14.25598256
1638,Sweden,2018,25-34 years,1311730,209,15.93315698
1454,Sweden,1987,35-54 years,2209200,579,26.20858229
1460,Sweden,1988,35-54 years,2240500,598,26.69047088
1466,Sweden,1989,35-54 years,2273200,514,22.61129685
1472,Sweden,1990,35-54 years,2304600,496,21.52217305
1478,Sweden,1991,35-54 years,2334300,537,23.00475517
1484,Sweden,1992,35-54 years,2360100,504,21.35502733
1490,Sweden,1993,35-54 years,2383000,536,22.49265632
1496,Sweden,1994,35-54 years,2405200,481,19.99833694
1502,Sweden,1995,35-54 years,2423400,534,22.03515722
1508,Sweden,1996,35-54 years,2435600,472,19.37920841
1514,Sweden,1997,35-54 years,2441400,471,19.29220939
1520,Sweden,1998,35-54 years,2441300,444,18.1870315
1526,Sweden,1999,35-54 years,2440641,458,18.765562
1532,Sweden,2000,35-54 years,2441563,398,16.3010334
1538,Sweden,2001,35-54 years,2442927,446,18.25678786
1544,Sweden,2002,35-54 years,2444878,420,17.17877129
1550,Sweden,2003,35-54 years,2444366,399,16.3232511
1556,Sweden,2004,35-54 years,2439748,403,16.51809941
1562,Sweden,2005,35-54 years,2437396,432,17.72383314
1568,Sweden,2006,35-54 years,2445650,427,17.45957108
1574,Sweden,2007,35-54 years,2461531,427,17.34692758
1580,Sweden,2008,35-54 years,2476422,391,15.78890835
1586,Sweden,2009,35-54 years,2493536,446,17.88624668
1592,Sweden,2010,35-54 years,2508605,380,15.14786106
1598,Sweden,2011,35-54 years,2515974,366,14.54705017
1604,Sweden,2012,35-54 years,2521124,397,15.74694462
1610,Sweden,2013,35-54 years,2527744,383,15.15185082
1616,Sweden,2014,35-54 years,2539543,373,14.687682
1622,Sweden,2015,35-54 years,2539543,388,15.27833945
1628,Sweden,2016,35-54 years,2557572,385,15.05333965
1633,Sweden,2017,35-54 years,2557572,337,13.17655964
1639,Sweden,2018,35-54 years,2557572,372,14.54504507
1455,Sweden,1987,5-14 years,1013400,2,0.197355437
1461,Sweden,1988,5-14 years,998600,4,0.400560785
1467,Sweden,1989,5-14 years,986900,2,0.202654778
1473,Sweden,1990,5-14 years,982100,5,0.509113125
1479,Sweden,1991,5-14 years,986300,6,0.608334178
1485,Sweden,1992,5-14 years,996500,3,0.301053688
1491,Sweden,1993,5-14 years,1014700,1,0.098551296
1497,Sweden,1994,5-14 years,1042000,2,0.19193858
1503,Sweden,1995,5-14 years,1070000,4,0.373831776
1509,Sweden,1996,5-14 years,1096500,3,0.273597811
1515,Sweden,1997,5-14 years,1122900,6,0.534330751
1521,Sweden,1998,5-14 years,1146500,3,0.26166594
1527,Sweden,1999,5-14 years,1164052,3,0.257720445
1533,Sweden,2000,5-14 years,1171973,2,0.170652396
1539,Sweden,2001,5-14 years,1168732,5,0.427814075
1545,Sweden,2002,5-14 years,1156968,7,0.605029698
1551,Sweden,2003,5-14 years,1137765,3,0.263674836
1557,Sweden,2004,5-14 years,1112064,7,0.629460175
1563,Sweden,2005,5-14 years,1081228,9,0.832386879
1569,Sweden,2006,5-14 years,1050718,4,0.38069206
1575,Sweden,2007,5-14 years,1026717,7,0.681784757
1581,Sweden,2008,5-14 years,1010925,4,0.395677226
1587,Sweden,2009,5-14 years,1003321,6,0.598013996
1593,Sweden,2010,5-14 years,1002196,3,0.299342644
1599,Sweden,2011,5-14 years,1010036,5,0.49503186
1605,Sweden,2012,5-14 years,1027590,5,0.486575385
1611,Sweden,2013,5-14 years,1052679,4,0.379982882
1617,Sweden,2014,5-14 years,1082479,6,0.55428327
1623,Sweden,2015,5-14 years,1082479,8,0.73904436
1634,Sweden,2017,5-14 years,1082479,7,0.646663815
1640,Sweden,2018,5-14 years,1082479,9,0.831424905
1456,Sweden,1987,55-74 years,1727700,398,23.03640678
1462,Sweden,1988,55-74 years,1711100,432,25.24691719
1468,Sweden,1989,55-74 years,1694700,431,25.43222989
1474,Sweden,1990,55-74 years,1681900,425,25.26904097
1480,Sweden,1991,55-74 years,1672400,396,23.6785458
1486,Sweden,1992,55-74 years,1665400,361,21.67647412
1492,Sweden,1993,55-74 years,1662100,343,20.63654413
1498,Sweden,1994,55-74 years,1665700,351,21.07222189
1504,Sweden,1995,55-74 years,1663700,336,20.19594879
1510,Sweden,1996,55-74 years,1657400,321,19.36768432
1516,Sweden,1997,55-74 years,1664100,311,18.68878072
1522,Sweden,1998,55-74 years,1684600,357,21.19197436
1528,Sweden,1999,55-74 years,1715850,327,19.05760993
1534,Sweden,2000,55-74 years,1754000,321,18.30102623
1540,Sweden,2001,55-74 years,1795628,344,19.1576429
1546,Sweden,2002,55-74 years,1838744,354,19.2522722
1552,Sweden,2003,55-74 years,1880441,317,16.85774773
1558,Sweden,2004,55-74 years,1919594,355,18.49349394
1564,Sweden,2005,55-74 years,1954326,374,19.13703241
1570,Sweden,2006,55-74 years,1984548,359,18.0897615
1576,Sweden,2007,55-74 years,2014172,321,15.93706992
1582,Sweden,2008,55-74 years,2045994,351,17.15547553
1588,Sweden,2009,55-74 years,2077921,367,17.66188416
1594,Sweden,2010,55-74 years,2108012,368,17.45720613
1600,Sweden,2011,55-74 years,2137321,343,16.04812754
1606,Sweden,2012,55-74 years,2165018,345,15.93520239
1612,Sweden,2013,55-74 years,2189197,381,17.40364161
1618,Sweden,2014,55-74 years,2209891,325,14.7066077
1624,Sweden,2015,55-74 years,2209891,370,16.74290723
1629,Sweden,2016,55-74 years,2227349,336,15.08519769
1635,Sweden,2017,55-74 years,2227349,367,16.47698677
1641,Sweden,2018,55-74 years,2227349,386,17.33001878
1457,Sweden,1987,75+ years,645000,197,30.54263566
1463,Sweden,1988,75+ years,659100,175,26.55135791
1469,Sweden,1989,75+ years,672400,193,28.70315289
1475,Sweden,1990,75+ years,684200,207,30.2543116
1481,Sweden,1991,75+ years,693600,192,27.6816609
1487,Sweden,1992,75+ years,703100,198,28.16100128
1493,Sweden,1993,75+ years,710400,199,28.01238739
1499,Sweden,1994,75+ years,718000,207,28.83008357
1505,Sweden,1995,75+ years,733700,198,26.98650675
1511,Sweden,1996,75+ years,753000,181,24.03718459
1517,Sweden,1997,75+ years,766000,149,19.45169713
1523,Sweden,1998,75+ years,775800,188,24.23304976
1529,Sweden,1999,75+ years,782734,174,22.2297741
1535,Sweden,2000,75+ years,788016,177,22.46147286
1541,Sweden,2001,75+ years,792005,192,24.2422712
1547,Sweden,2002,75+ years,793074,161,20.30075378
1553,Sweden,2003,75+ years,793986,155,19.52175479
1559,Sweden,2004,75+ years,796038,152,19.09456584
1565,Sweden,2005,75+ years,797998,165,20.67674355
1571,Sweden,2006,75+ years,799596,163,20.38529457
1577,Sweden,2007,75+ years,800093,136,16.99802398
1583,Sweden,2008,75+ years,799123,150,18.77057725
1589,Sweden,2009,75+ years,798300,145,18.16359764
1595,Sweden,2010,75+ years,799197,135,16.8919553
1601,Sweden,2011,75+ years,802363,124,15.45435171
1607,Sweden,2012,75+ years,807269,150,18.58116687
1613,Sweden,2013,75+ years,814891,158,19.38909621
1619,Sweden,2014,75+ years,827255,164,19.82460064
1625,Sweden,2015,75+ years,827255,153,18.49490181
