"","age","X","country","year","total_pop","total_suicides","suicide_rate","age_order"
"390","15-24 years",595,"New Zealand",1985,597000,75,12.56281407,1
"391","15-24 years",601,"New Zealand",1986,583100,91,15.6062425,1
"392","15-24 years",2009,"Uruguay",2019,519629,106,20.39916941,1
"393","15-24 years",751,"Norway",2012,660351,66,9.994684645,1
"394","15-24 years",2021,"Uzbekistan",1991,3935900,326,8.28273076,1
"395","15-24 years",2027,"Uzbekistan",1992,4161400,365,8.771086654,1
"396","15-24 years",835,"Qatar",2012,347204,7,2.016105805,1
"397","15-24 years",2063,"Uzbekistan",1998,4633000,418,9.022231815,1
"398","15-24 years",757,"Norway",2013,666675,64,9.599880001,1
"399","15-24 years",1266,"South Africa",1998,9121173,52,0.570102113,1
"400","15-24 years",2033,"Uzbekistan",1993,4183000,335,8.008606263,1
"401","15-24 years",1781,"United States",2008,43334046,4298,9.918298421,1
"402","15-24 years",2129,"Uzbekistan",2012,6272030,644,10.26780803,1
"403","15-24 years",1254,"South Africa",1996,8747911,39,0.445820722,1
"404","15-24 years",2057,"Uzbekistan",1997,4519800,398,8.805699367,1
"405","15-24 years",1811,"United States",2013,44434508,4878,10.97795434,1
"406","15-24 years",2039,"Uzbekistan",1994,4291000,356,8.296434398,1
"407","15-24 years",2117,"Uzbekistan",2010,6307042,454,7.198303103,1
"408","15-24 years",1775,"United States",2007,42779490,4140,9.677534725,1
"409","15-24 years",2045,"Uzbekistan",1995,4376900,324,7.402499486,1
"410","15-24 years",1817,"United States",2014,44391330,5079,11.44142336,1
"411","15-24 years",1787,"United States",2009,43642277,4371,10.01551775,1
"412","15-24 years",763,"Norway",2014,669409,55,8.21620265,1
"413","15-24 years",2099,"Uzbekistan",2004,5619125,374,6.655840545,1
"414","15-24 years",2051,"Uzbekistan",1996,4423200,366,8.27455236,1
"415","15-24 years",2123,"Uzbekistan",2011,6303199,512,8.122859519,1
"416","15-24 years",817,"Qatar",2009,262259,10,3.813024529,1
"417","15-24 years",2111,"Uzbekistan",2009,6255927,428,6.841512057,1
"418","15-24 years",823,"Qatar",2010,257296,8,3.109259374,1
"419","15-24 years",829,"Qatar",2011,307623,11,3.57580545,1
"420","15-24 years",2093,"Uzbekistan",2003,5476293,386,7.048563691,1
"421","15-24 years",2105,"Uzbekistan",2005,5754076,298,5.178937504,1
"422","15-24 years",1793,"United States",2010,43858781,4602,10.49276769,1
"423","15-24 years",1805,"United States",2012,44367053,4872,10.98112151,1
"424","15-24 years",1799,"United States",2011,44174628,4822,10.91576821,1
"425","25-34 years",452,"Italy",1993,8933529,657,7.35431653,2
"426","25-34 years",1045,"Singapore",1985,547200,87,15.89912281,2
"427","25-34 years",716,"New Zealand",2005,549340,112,20.38810209,2
"428","25-34 years",458,"Italy",1994,9041129,683,7.554366274,2
"429","25-34 years",722,"New Zealand",2006,546390,100,18.3019455,2
"430","25-34 years",1051,"Singapore",1986,561100,81,14.43592942,2
"431","25-34 years",446,"Italy",1992,8815866,597,6.771881515,2
"432","25-34 years",1411,"Sri Lanka",1998,3008581,1278,42.47849734,2
"433","25-34 years",1057,"Singapore",1987,570900,84,14.71361009,2
"434","25-34 years",368,"Belgium",2012,1438397,238,16.54619691,2
"435","25-34 years",710,"New Zealand",2004,551180,95,17.23574876,2
"436","25-34 years",440,"Italy",1991,8882300,590,6.642423697,2
"437","25-34 years",985,"Russian Federation",2009,22814566,8219,36.02523055,2
"438","25-34 years",482,"Italy",1998,9185611,660,7.185150775,2
"439","25-34 years",470,"Italy",1996,9165600,656,7.157196474,2
"440","25-34 years",1093,"Singapore",1993,589500,55,9.329940628,2
"441","25-34 years",362,"Belgium",2011,1423308,223,15.66772617,2
"442","25-34 years",704,"New Zealand",2003,545860,102,18.68610999,2
"443","25-34 years",1417,"Sri Lanka",1999,2983471,1300,43.57340829,2
"444","25-34 years",1423,"Sri Lanka",2000,2959913,1161,39.22412584,2
"445","25-34 years",476,"Italy",1997,9190478,681,7.409843101,2
"446","25-34 years",1429,"Sri Lanka",2001,2973389,979,32.92539254,2
"447","25-34 years",1399,"Sri Lanka",1996,3040880,1202,39.52803136,2
"448","25-34 years",1405,"Sri Lanka",1997,3029407,1450,47.86415295,2
"449","25-34 years",356,"Belgium",2010,1389765,234,16.83737898,2
"450","25-34 years",500,"Italy",2001,8919635,556,6.233438924,2
"451","25-34 years",1435,"Sri Lanka",2002,2992774,852,28.4685713,2
"452","25-34 years",14,"Australia",1987,2673600,444,16.60682226,2
"453","25-34 years",20,"Australia",1988,2729800,504,18.46289105,2
"454","25-34 years",632,"Norway",1992,651800,99,15.18870819,2
"455","25-34 years",506,"Italy",2002,8718552,567,6.503373496,2
"456","25-34 years",512,"Italy",2003,8650664,519,5.999539457,2
"457","25-34 years",1087,"Singapore",1992,592500,71,11.98312236,2
"458","25-34 years",1447,"Sri Lanka",2006,3135601,767,24.46102039,2
"459","25-34 years",728,"New Zealand",2007,543740,94,17.28767426,2
"460","25-34 years",734,"New Zealand",2008,543940,88,16.17825495,2
"461","25-34 years",8,"Australia",1986,2617700,455,17.38167093,2
"462","25-34 years",350,"Belgium",2009,1384951,233,16.8236999,2
"463","25-34 years",1159,"Singapore",2004,551000,52,9.43738657,2
"464","25-34 years",1165,"Singapore",2005,555200,52,9.365994236,2
"465","25-34 years",1441,"Sri Lanka",2003,3017850,836,27.70184071,2
"466","25-34 years",1177,"Singapore",2007,549000,46,8.378870674,2
"467","25-34 years",374,"Belgium",2013,1450705,206,14.19999242,2
"468","25-34 years",638,"Norway",1993,659000,109,16.54021244,2
"469","25-34 years",1171,"Singapore",2006,560000,49,8.75,2
"470","25-34 years",740,"New Zealand",2009,549320,84,15.29163329,2
"471","25-34 years",1063,"Singapore",1988,565100,85,15.04158556,2
"472","25-34 years",1069,"Singapore",1989,571400,88,15.40077004,2
"473","25-34 years",644,"Norway",1994,666100,110,16.51403693,2
"474","25-34 years",1081,"Singapore",1991,593800,72,12.12529471,2
"475","25-34 years",494,"Italy",2000,9037605,583,6.450824084,2
"476","25-34 years",422,"Italy",1988,8430100,500,5.931127745,2
"477","25-34 years",428,"Italy",1989,8645800,571,6.604362812,2
"478","25-34 years",434,"Italy",1990,8869100,575,6.483183187,2
"479","25-34 years",2,"Australia",1985,2575000,421,16.34951456,2
"480","25-34 years",626,"Norway",1991,645400,117,18.12829253,2
"481","25-34 years",206,"Belgium",1985,1519300,323,21.25979069,2
"482","25-34 years",212,"Belgium",1986,1541900,312,20.23477528,2
"483","25-34 years",464,"Italy",1995,9125286,608,6.66280487,2
"484","25-34 years",656,"Norway",1996,676300,102,15.08206417,2
"485","25-34 years",662,"Norway",1997,681100,83,12.18616943,2
"486","25-34 years",1075,"Singapore",1990,589300,90,15.27235703,2
"487","25-34 years",488,"Italy",1999,9139870,604,6.608409091,2
"488","25-34 years",344,"Belgium",2008,1376465,223,16.20092047,2
"489","25-34 years",254,"Belgium",1993,1589900,350,22.01396314,2
"490","25-34 years",260,"Belgium",1994,1578300,349,22.11239942,2
"491","25-34 years",266,"Belgium",1995,1563100,316,20.21623697,2
"492","25-34 years",272,"Belgium",1996,1547284,316,20.42288294,2
"493","25-34 years",278,"Belgium",1997,1539945,354,22.98783398,2
"494","25-34 years",284,"Belgium",1998,1506672,292,19.38046237,2
"495","25-34 years",290,"Belgium",1999,1475978,267,18.08970052,2
"496","25-34 years",218,"Belgium",1987,1548500,373,24.08782693,2
"497","25-34 years",224,"Belgium",1988,1564700,324,20.70684476,2
"498","25-34 years",230,"Belgium",1989,1581100,287,18.15191955,2
"499","25-34 years",668,"Norway",1998,684500,116,16.94667641,2
"500","25-34 years",338,"Belgium",2007,1371269,214,15.60598249,2
"501","25-34 years",248,"Belgium",1992,1596000,304,19.04761905,2
"502","25-34 years",1153,"Singapore",2003,550400,58,10.5377907,2
"503","25-34 years",596,"New Zealand",1985,514500,64,12.43926142,2
"504","25-34 years",602,"New Zealand",1986,520300,74,14.22256391,2
"505","25-34 years",608,"New Zealand",1987,532800,103,19.33183183,2
"506","25-34 years",614,"New Zealand",1988,542000,101,18.63468635,2
"507","25-34 years",1183,"Singapore",2008,553000,41,7.414104882,2
"508","25-34 years",1189,"Singapore",2009,571600,50,8.747375787,2
"509","25-34 years",296,"Belgium",2000,1443091,334,23.14476357,2
"510","25-34 years",302,"Belgium",2001,1417100,294,20.74659516,2
"511","25-34 years",308,"Belgium",2002,1401189,293,20.91081217,2
"512","25-34 years",236,"Belgium",1990,1592400,294,18.46269781,2
"513","25-34 years",242,"Belgium",1991,1597000,306,19.16092674,2
"514","25-34 years",1147,"Singapore",2002,552000,58,10.50724638,2
"515","25-34 years",416,"Italy",1987,8233900,524,6.363934466,2
"516","25-34 years",686,"New Zealand",2000,561170,126,22.45308908,2
"517","25-34 years",692,"New Zealand",2001,548810,121,22.04770321,2
"518","25-34 years",698,"New Zealand",2002,545490,108,19.79871308,2
"519","25-34 years",620,"Norway",1990,640900,111,17.3193946,2
"520","25-34 years",979,"Russian Federation",2008,22270500,7841,35.2080106,2
"521","25-34 years",1668,"United Kingdom",1989,8582644,821,9.565816781,2
"522","25-34 years",1674,"United Kingdom",1990,8794115,943,10.72308015,2
"523","25-34 years",1680,"United Kingdom",1991,9043280,962,10.63773321,2
"524","25-34 years",1686,"United Kingdom",1992,9184729,976,10.62633421,2
"525","25-34 years",1135,"Singapore",2000,557500,51,9.147982063,2
"526","25-34 years",1141,"Singapore",2001,549500,64,11.64695177,2
"527","25-34 years",410,"Italy",1986,8057100,477,5.920244257,2
"528","25-34 years",752,"New Zealand",2011,566110,89,15.72132624,2
"529","25-34 years",758,"New Zealand",2012,575180,82,14.25640669,2
"530","25-34 years",764,"New Zealand",2013,548560,72,13.12527344,2
"531","25-34 years",56,"Australia",1994,2826400,514,18.18567789,2
"532","25-34 years",62,"Australia",1995,2838600,531,18.70640457,2
"533","25-34 years",68,"Australia",1996,2862600,569,19.87703486,2
"534","25-34 years",1099,"Singapore",1994,582700,52,8.923974601,2
"535","25-34 years",1105,"Singapore",1995,575800,51,8.857242098,2
"536","25-34 years",1111,"Singapore",1996,572600,51,8.906741181,2
"537","25-34 years",1117,"Singapore",1997,571500,73,12.77340332,2
"538","25-34 years",26,"Australia",1989,2782800,493,17.71596953,2
"539","25-34 years",32,"Australia",1990,2816200,527,18.71315958,2
"540","25-34 years",746,"New Zealand",2010,557710,95,17.03394237,2
"541","25-34 years",326,"Belgium",2005,1373210,243,17.69576394,2
"542","25-34 years",332,"Belgium",2006,1370452,267,19.48262325,2
"543","25-34 years",134,"Australia",2008,3007001,444,14.76554215,2
"544","25-34 years",140,"Australia",2009,3108511,439,14.12251718,2
"545","25-34 years",146,"Australia",2010,3186431,405,12.71014499,2
"546","25-34 years",152,"Australia",2011,3194331,432,13.52395854,2
"547","25-34 years",620,"New Zealand",1989,543900,101,18.56959,2
"548","25-34 years",626,"New Zealand",1990,549700,93,16.91831908,2
"549","25-34 years",1195,"Singapore",2010,571200,32,5.602240896,2
"550","25-34 years",1201,"Singapore",2011,560100,26,4.642028209,2
"551","25-34 years",1123,"Singapore",1998,572700,65,11.34974681,2
"552","25-34 years",314,"Belgium",2003,1389788,285,20.50672477,2
"553","25-34 years",320,"Belgium",2004,1379809,260,18.84318772,2
"554","25-34 years",404,"Italy",1985,7920500,467,5.896092418,2
"555","25-34 years",596,"Norway",1986,621800,101,16.243165,2
"556","25-34 years",602,"Norway",1987,627000,123,19.61722488,2
"557","25-34 years",608,"Norway",1988,632400,138,21.82163188,2
"558","25-34 years",614,"Norway",1989,637100,117,18.36446398,2
"559","25-34 years",1393,"Sri Lanka",1986,2600700,1410,54.21617257,2
"560","25-34 years",1662,"United Kingdom",1988,8380329,866,10.33372317,2
"561","25-34 years",1956,"Uruguay",2008,479786,74,15.423543,2
"562","25-34 years",1962,"Uruguay",2009,475900,91,19.12166422,2
"563","25-34 years",1968,"Uruguay",2010,472250,95,20.11646374,2
"564","25-34 years",1974,"Uruguay",2012,467901,88,18.80739729,2
"565","25-34 years",650,"Norway",1995,671700,93,13.84546673,2
"566","25-34 years",1453,"Sweden",1987,1134400,231,20.36318759,2
"567","25-34 years",1459,"Sweden",1988,1138900,237,20.80955308,2
"568","25-34 years",1465,"Sweden",1989,1156600,271,23.43074529,2
"569","25-34 years",674,"Norway",1999,684764,118,17.23221431,2
"570","25-34 years",680,"Norway",2000,660122,107,16.20912498,2
"571","25-34 years",686,"Norway",2001,672571,94,13.97621961,2
"572","25-34 years",692,"Norway",2002,661904,97,14.65469313,2
"573","25-34 years",698,"Norway",2003,650298,92,14.14736013,2
"574","25-34 years",518,"Italy",2004,8517357,550,6.45740222,2
"575","25-34 years",524,"Italy",2005,8356175,448,5.361304664,2
"576","25-34 years",530,"Italy",2006,8307528,430,5.176028296,2
"577","25-34 years",536,"Italy",2007,8143302,438,5.378653524,2
"578","25-34 years",542,"Italy",2008,7997275,459,5.739455002,2
"579","25-34 years",1129,"Singapore",1999,567100,47,8.287779933,2
"580","25-34 years",116,"Australia",2004,2887876,468,16.20568196,2
"581","25-34 years",122,"Australia",2006,2887512,351,12.15579364,2
"582","25-34 years",128,"Australia",2007,2931183,431,14.70396082,2
"583","25-34 years",572,"Italy",2013,6970100,408,5.853574554,2
"584","25-34 years",578,"Italy",2014,6939801,375,5.403613158,2
"585","25-34 years",584,"Italy",2015,6846418,335,4.893069631,2
"586","25-34 years",590,"Italy",2017,6846418,340,4.966100521,2
"587","25-34 years",158,"Australia",2012,3287715,449,13.65690153,2
"588","25-34 years",164,"Australia",2013,3379049,424,12.54790919,2
"589","25-34 years",380,"Belgium",2014,1453440,211,14.51728314,2
"590","25-34 years",386,"Belgium",2015,1455230,206,14.15583791,2
"591","25-34 years",392,"Belgium",2017,1455230,204,14.01840259,2
"592","25-34 years",398,"Belgium",2018,1455230,198,13.60609663,2
"593","25-34 years",662,"New Zealand",1996,585600,142,24.24863388,2
"594","25-34 years",668,"New Zealand",1997,582600,154,26.43323035,2
"595","25-34 years",674,"New Zealand",1998,573700,134,23.35715531,2
"596","25-34 years",680,"New Zealand",1999,570260,126,22.09518465,2
"597","25-34 years",1644,"United Kingdom",1985,7869595,796,10.11487885,2
"598","25-34 years",1650,"United Kingdom",1986,8020634,777,9.687513481,2
"599","25-34 years",1656,"United Kingdom",1987,8204015,786,9.580674828,2
"600","25-34 years",1950,"Uruguay",2007,483182,80,16.55690816,2
"601","25-34 years",1255,"South Africa",1996,6730260,33,0.490322811,2
"602","25-34 years",1261,"South Africa",1997,6897445,25,0.362453053,2
"603","25-34 years",1267,"South Africa",1998,7064937,46,0.651102763,2
"604","25-34 years",991,"Russian Federation",2010,22872066,7401,32.3582487,2
"605","25-34 years",997,"Russian Federation",2011,23236367,6854,29.49686584,2
"606","25-34 years",1003,"Russian Federation",2012,23673156,6628,27.99795684,2
"607","25-34 years",1009,"Russian Federation",2013,24042371,6628,27.56799652,2
"608","25-34 years",1015,"Russian Federation",2014,24042371,5999,24.951782,2
"609","25-34 years",1021,"Russian Federation",2015,24671897,5724,23.20048596,2
"610","25-34 years",1027,"Russian Federation",2017,24671897,1987,8.053697695,2
"611","25-34 years",1033,"Russian Federation",2018,24671897,1931,7.826718797,2
"612","25-34 years",1039,"Russian Federation",2019,24671897,1890,7.660537818,2
"613","25-34 years",1327,"South Africa",2008,8227170,123,1.495046292,2
"614","25-34 years",1333,"South Africa",2009,8803909,98,1.113141901,2
"615","25-34 years",1339,"South Africa",2010,8991167,126,1.401375372,2
"616","25-34 years",1345,"South Africa",2011,9154619,103,1.125115092,2
"617","25-34 years",1351,"South Africa",2012,9329058,147,1.575721793,2
"618","25-34 years",1357,"South Africa",2013,9507034,196,2.061631419,2
"619","25-34 years",1363,"South Africa",2014,9675132,186,1.922454391,2
"620","25-34 years",1369,"South Africa",2015,9823216,153,1.557534722,2
"621","25-34 years",1375,"South Africa",2017,9823216,124,1.262315722,2
"622","25-34 years",1381,"South Africa",2018,9823216,103,1.048536447,2
"623","25-34 years",1800,"United States",2011,41106344,6100,14.83955858,2
"624","25-34 years",1806,"United States",2012,41696082,6216,14.90787552,2
"625","25-34 years",1812,"United States",2013,42338849,6348,14.99332209,2
"626","25-34 years",1818,"United States",2014,43011091,6569,15.27280487,2
"627","25-34 years",1824,"United States",2015,43692809,6947,15.89964152,2
"628","25-34 years",1818,"United Kingdom",2014,8748803,757,8.652612249,2
"629","25-34 years",170,"Australia",2014,3447771,523,15.16922093,2
"630","25-34 years",176,"Australia",2015,3509980,542,15.44168343,2
"631","25-34 years",182,"Australia",2017,3509980,620,15.44168343,2
"632","25-34 years",1207,"Singapore",2012,550000,37,6.727272727,2
"633","25-34 years",1213,"Singapore",2013,552485,42,7.602016344,2
"634","25-34 years",1219,"Singapore",2014,557946,39,6.989923756,2
"635","25-34 years",1225,"Singapore",2015,561649,48,8.546262879,2
"636","25-34 years",1231,"Singapore",2017,561649,33,5.87555573,2
"637","25-34 years",1237,"Singapore",2018,561649,41,7.299932876,2
"638","25-34 years",1243,"Singapore",2019,561649,36,6.40969716,2
"639","25-34 years",1249,"Singapore",2020,561649,38,6.765791446,2
"640","25-34 years",973,"Russian Federation",2007,21787523,8534,39.16920707,2
"641","25-34 years",967,"Russian Federation",2006,21475735,8558,39.84962564,2
"642","25-34 years",776,"Qatar",1995,124360,0,0,2
"643","25-34 years",782,"Qatar",2001,138158,6,4.342853834,2
"644","25-34 years",788,"Qatar",2004,182586,5,2.738435587,2
"645","25-34 years",794,"Qatar",2005,215720,6,2.781383275,2
"646","25-34 years",1980,"Uruguay",2013,466368,94,20.15575683,2
"647","25-34 years",1692,"United Kingdom",1993,9276757,954,10.28376619,2
"648","25-34 years",1698,"United Kingdom",1994,9358141,1057,11.29497835,2
"649","25-34 years",38,"Australia",1991,2825400,518,18.33368727,2
"650","25-34 years",44,"Australia",1992,2829800,503,17.77510778,2
"651","25-34 years",50,"Australia",1993,2823000,468,16.5781084,2
"652","25-34 years",1716,"United Kingdom",1997,9335470,1003,10.74396897,2
"653","25-34 years",1722,"United Kingdom",1998,9204612,1145,12.43941624,2
"654","25-34 years",1728,"United Kingdom",1999,9035537,1010,11.17808493,2
"655","25-34 years",74,"Australia",1997,2878456,638,22.1646605,2
"656","25-34 years",80,"Australia",1998,2877303,688,23.91128081,2
"657","25-34 years",86,"Australia",1999,2875623,628,21.8387459,2
"658","25-34 years",92,"Australia",2000,2876032,572,19.88851306,2
"659","25-34 years",98,"Australia",2001,2873696,598,20.80943844,2
"660","25-34 years",104,"Australia",2002,2877313,555,19.28882954,2
"661","25-34 years",110,"Australia",2003,2881767,500,17.35046588,2
"662","25-34 years",1782,"United Kingdom",2008,7900475,773,9.784221835,2
"663","25-34 years",1788,"United Kingdom",2009,7993256,697,8.719850834,2
"664","25-34 years",1794,"United Kingdom",2010,8141166,646,7.934981304,2
"665","25-34 years",1800,"United Kingdom",2011,8317435,687,8.259757966,2
"666","25-34 years",1806,"United Kingdom",2012,8557753,750,8.763982788,2
"667","25-34 years",1812,"United Kingdom",2013,8676837,710,8.182705288,2
"668","25-34 years",889,"Russian Federation",1993,22324200,10482,46.95353025,2
"669","25-34 years",1824,"United Kingdom",2015,8822757,777,8.806770945,2
"670","25-34 years",632,"New Zealand",1991,566500,114,20.12356575,2
"671","25-34 years",638,"New Zealand",1992,568400,113,19.88036594,2
"672","25-34 years",644,"New Zealand",1993,571300,105,18.37913531,2
"673","25-34 years",650,"New Zealand",1994,575300,116,20.16339301,2
"674","25-34 years",656,"New Zealand",1995,579900,116,20.00344887,2
"675","25-34 years",200,"Australia",2020,3509980,594,15.44168343,2
"676","25-34 years",1920,"Uruguay",2002,479957,96,20.00179183,2
"677","25-34 years",1926,"Uruguay",2003,483718,81,16.74529375,2
"678","25-34 years",1932,"Uruguay",2004,485556,74,15.24026065,2
"679","25-34 years",1938,"Uruguay",2005,485027,81,16.70010123,2
"680","25-34 years",1944,"Uruguay",2006,485113,78,16.07872805,2
"681","25-34 years",961,"Russian Federation",2005,21218553,8788,41.41658482,2
"682","25-34 years",1656,"United States",1987,43315000,6655,15.36419254,2
"683","25-34 years",1662,"United States",1988,43675000,6710,15.36348025,2
"684","25-34 years",1668,"United States",1989,43835000,6565,14.97661686,2
"685","25-34 years",1674,"United States",1990,43160700,6550,15.17584284,2
"686","25-34 years",800,"Qatar",2006,268682,9,3.349684757,2
"687","25-34 years",1986,"Uruguay",2014,466165,101,21.66614825,2
"688","25-34 years",1992,"Uruguay",2015,467730,119,25.44202852,2
"689","25-34 years",1998,"Uruguay",2017,467730,117,25.0144314,2
"690","25-34 years",2004,"Uruguay",2018,467730,104,22.23505014,2
"691","25-34 years",2010,"Uruguay",2019,467730,120,25.65582708,2
"692","25-34 years",1477,"Sweden",1991,1201500,224,18.64336246,2
"693","25-34 years",1483,"Sweden",1992,1218300,194,15.92382829,2
"694","25-34 years",1489,"Sweden",1993,1232500,190,15.4158215,2
"695","25-34 years",704,"Norway",2004,637768,79,12.38694949,2
"696","25-34 years",710,"Norway",2005,627678,106,16.88763984,2
"697","25-34 years",716,"Norway",2006,620269,84,13.54251139,2
"698","25-34 years",722,"Norway",2007,617426,81,13.11898106,2
"699","25-34 years",728,"Norway",2008,620216,86,13.86613696,2
"700","25-34 years",548,"Italy",2009,7812797,402,5.145404392,2
"701","25-34 years",554,"Italy",2010,7620772,423,5.550618756,2
"702","25-34 years",560,"Italy",2011,7154993,375,5.241095274,2
"703","25-34 years",566,"Italy",2012,7024050,397,5.65200988,2
"704","25-34 years",758,"Norway",2013,674901,80,11.85359038,2
"705","25-34 years",764,"Norway",2014,691535,91,13.1591315,2
"706","25-34 years",770,"Norway",2015,706161,95,13.45302275,2
"707","25-34 years",883,"Russian Federation",1992,23334600,8948,38.34648976,2
"708","25-34 years",1854,"Uruguay",1989,419400,46,10.96804959,2
"709","25-34 years",1860,"Uruguay",1990,440000,35,7.954545455,2
"710","25-34 years",1830,"United Kingdom",2017,8822757,786,8.908779875,2
"711","25-34 years",1836,"United Kingdom",2018,8822757,871,9.872197546,2
"712","25-34 years",1842,"United Kingdom",2019,8822757,1023,11.59501503,2
"713","25-34 years",188,"Australia",2018,3509980,566,15.44168343,2
"714","25-34 years",194,"Australia",2019,3509980,612,15.44168343,2
"715","25-34 years",1902,"Uruguay",1999,464500,57,12.27125942,2
"716","25-34 years",1908,"Uruguay",2000,470393,73,15.51893842,2
"717","25-34 years",1914,"Uruguay",2001,475287,58,12.20315304,2
"718","25-34 years",943,"Russian Federation",2002,19994942,9782,48.92237247,2
"719","25-34 years",949,"Russian Federation",2003,20518145,9135,44.52156859,2
"720","25-34 years",1387,"Sri Lanka",1985,2556000,1450,56.72926448,2
"721","25-34 years",955,"Russian Federation",2004,20956185,8997,42.9324326,2
"722","25-34 years",1632,"Sweden",2017,1311730,187,14.25598256,2
"723","25-34 years",1638,"Sweden",2018,1311730,209,15.93315698,2
"724","25-34 years",2016,"Uzbekistan",1990,3302300,370,11.20431215,2
"725","25-34 years",2022,"Uzbekistan",1991,3332900,361,10.83140808,2
"726","25-34 years",1680,"United States",1991,42877000,6514,15.19229424,2
"727","25-34 years",806,"Qatar",2007,336385,15,4.459176242,2
"728","25-34 years",812,"Qatar",2008,416122,14,3.364397941,2
"729","25-34 years",818,"Qatar",2009,500352,17,3.397608084,2
"730","25-34 years",824,"Qatar",2010,580419,21,3.618075907,2
"731","25-34 years",830,"Qatar",2011,622486,16,2.570338931,2
"732","25-34 years",836,"Qatar",2012,670388,17,2.535844914,2
"733","25-34 years",842,"Qatar",2013,724143,16,2.209508343,2
"734","25-34 years",848,"Qatar",2014,780377,16,2.050291077,2
"735","25-34 years",854,"Qatar",2015,834768,22,2.635462787,2
"736","25-34 years",860,"Qatar",2016,841009,23,2.73481021,2
"737","25-34 years",1758,"United States",2004,40031937,5074,12.67488006,2
"738","25-34 years",1764,"United States",2005,40142912,4990,12.430588,2
"739","25-34 years",1770,"United States",2006,40415979,4985,12.33423048,2
"740","25-34 years",1776,"United States",2007,40371056,5278,13.07372292,2
"741","25-34 years",1782,"United States",2008,39819575,5300,13.31003658,2
"742","25-34 years",1788,"United States",2009,40198841,5320,13.2342124,2
"743","25-34 years",1794,"United States",2010,40590724,5737,14.13377106,2
"744","25-34 years",2154,"Uzbekistan",2018,5474388,524,9.571846205,2
"745","25-34 years",2160,"Uzbekistan",2019,5474388,549,10.02851826,2
"746","25-34 years",1842,"Uruguay",1987,413200,22,5.324298161,2
"747","25-34 years",1848,"Uruguay",1988,416400,42,10.08645533,2
"748","25-34 years",1561,"Sweden",2005,1156347,135,11.67469626,2
"749","25-34 years",1321,"South Africa",2007,8473004,104,1.227427722,2
"750","25-34 years",1866,"Uruguay",1993,443121,59,13.31464769,2
"751","25-34 years",1872,"Uruguay",1994,444373,66,14.85238752,2
"752","25-34 years",1878,"Uruguay",1995,446673,67,14.99978732,2
"753","25-34 years",1884,"Uruguay",1996,449937,60,13.33520026,2
"754","25-34 years",1896,"Uruguay",1998,459020,85,18.51771165,2
"755","25-34 years",925,"Russian Federation",1999,19638700,9142,46.55094278,2
"756","25-34 years",931,"Russian Federation",2000,19673570,9681,49.20815083,2
"757","25-34 years",937,"Russian Federation",2001,19811335,9973,50.33986857,2
"758","25-34 years",1609,"Sweden",2013,1215896,157,12.91228855,2
"759","25-34 years",1615,"Sweden",2014,1248189,156,12.49810726,2
"760","25-34 years",1621,"Sweden",2015,1248189,156,12.49810726,2
"761","25-34 years",1315,"South Africa",2006,8326722,171,2.053629267,2
"762","25-34 years",1555,"Sweden",2004,1161706,116,9.985314701,2
"763","25-34 years",1627,"Sweden",2016,1311730,158,12.04516173,2
"764","25-34 years",1644,"United States",1985,42027000,6376,15.17119947,2
"765","25-34 years",1650,"United States",1986,42784000,6711,15.68577038,2
"766","25-34 years",2028,"Uzbekistan",1992,3511300,339,9.654543901,2
"767","25-34 years",1273,"South Africa",1999,7235271,85,1.174800502,2
"768","25-34 years",1279,"South Africa",2000,7409987,72,0.971661624,2
"769","25-34 years",1285,"South Africa",2001,7551306,117,1.549400859,2
"770","25-34 years",1291,"South Africa",2002,7701045,52,0.675233037,2
"771","25-34 years",1704,"United Kingdom",1995,9390998,1001,10.659144,2
"772","25-34 years",1710,"United Kingdom",1996,9399751,1048,11.14923151,2
"773","25-34 years",1309,"South Africa",2005,8189315,140,1.709544693,2
"774","25-34 years",877,"Russian Federation",1991,24058700,7789,32.37498285,2
"775","25-34 years",1722,"United States",1998,38774400,5365,13.83644879,2
"776","25-34 years",1734,"United Kingdom",2000,8868886,935,10.54247399,2
"777","25-34 years",1740,"United Kingdom",2001,8495148,859,10.11165432,2
"778","25-34 years",1746,"United Kingdom",2002,8263850,917,11.09652281,2
"779","25-34 years",1752,"United Kingdom",2003,8083545,781,9.661602676,2
"780","25-34 years",1758,"United Kingdom",2004,7953585,749,9.417137052,2
"781","25-34 years",1764,"United Kingdom",2005,7935490,725,9.136171805,2
"782","25-34 years",1770,"United Kingdom",2006,7896350,700,8.864855281,2
"783","25-34 years",1776,"United Kingdom",2007,7859477,679,8.639251696,2
"784","25-34 years",1830,"Uruguay",1985,407000,33,8.108108108,2
"785","25-34 years",1836,"Uruguay",1986,410000,29,7.073170732,2
"786","25-34 years",871,"Russian Federation",1990,24675500,7778,31.52114446,2
"787","25-34 years",1716,"United States",1997,39609500,5672,14.31979702,2
"788","25-34 years",1549,"Sweden",2003,1172707,143,12.19400925,2
"789","25-34 years",1728,"United States",1999,37935812,5106,13.45957746,2
"790","25-34 years",895,"Russian Federation",1994,21655900,11508,53.14025277,2
"791","25-34 years",901,"Russian Federation",1995,21076600,10966,52.02926468,2
"792","25-34 years",907,"Russian Federation",1996,20506000,10341,50.42914269,2
