"","age","X","country","year","total_pop","total_suicides","suicide_rate","age_order"
"95","15-24 years",271,"Belgium",1996,1276434,176,13.78841366,1
"96","15-24 years",277,"Belgium",1997,1269689,158,12.44399219,1
"97","15-24 years",283,"Belgium",1998,1252306,167,13.33539886,1
"98","15-24 years",289,"Belgium",1999,1245906,139,11.1565399,1
"99","15-24 years",295,"Belgium",2000,1243355,177,14.23567686,1
"100","15-24 years",301,"Belgium",2001,1244433,153,12.29475592,1
"101","15-24 years",307,"Belgium",2002,1248259,131,10.4946169,1
"102","15-24 years",313,"Belgium",2003,1253232,160,12.76698967,1
"103","15-24 years",319,"Belgium",2004,1258486,152,12.07800484,1
"104","15-24 years",1386,"Sri Lanka",1985,3325000,2375,71.42857143,1
"105","15-24 years",1392,"Sri Lanka",1986,3382700,2108,62.31708399,1
"106","15-24 years",1398,"Sri Lanka",1996,3499156,1268,36.2373098,1
"107","15-24 years",1404,"Sri Lanka",1997,3517840,1547,43.97584882,1
"108","15-24 years",1410,"Sri Lanka",1998,3545810,1262,35.59130354,1
"109","15-24 years",1416,"Sri Lanka",1999,3573147,1301,36.41048073,1
"110","15-24 years",1422,"Sri Lanka",2000,3592123,1119,31.15149453,1
"111","15-24 years",1428,"Sri Lanka",2001,3590573,902,25.12133857,1
"112","15-24 years",1434,"Sri Lanka",2002,3572650,855,23.93181532,1
"113","15-24 years",1440,"Sri Lanka",2003,3541939,867,24.47811778,1
"114","15-24 years",1446,"Sri Lanka",2006,3396542,756,22.25793174,1
"115","15-24 years",391,"Belgium",2017,1321558,114,8.626182127,1
"116","15-24 years",397,"Belgium",2018,1321558,106,8.020836013,1
"117","15-24 years",637,"New Zealand",1992,571300,129,22.58008052,1
"118","15-24 years",643,"New Zealand",1993,565500,126,22.28116711,1
"119","15-24 years",649,"New Zealand",1994,559800,137,24.47302608,1
"120","15-24 years",655,"New Zealand",1995,555300,157,28.27300558,1
"121","15-24 years",661,"New Zealand",1996,551000,143,25.95281307,1
"122","15-24 years",667,"New Zealand",1997,542900,142,26.1558298,1
"123","15-24 years",673,"New Zealand",1998,536500,139,25.90866729,1
"124","15-24 years",679,"New Zealand",1999,529680,120,22.65518804,1
"125","15-24 years",685,"New Zealand",2000,527940,96,18.18388453,1
"126","15-24 years",1044,"Singapore",1985,521400,52,9.973149214,1
"127","15-24 years",1050,"Singapore",1986,506400,47,9.281200632,1
"128","15-24 years",1056,"Singapore",1987,493700,37,7.494429816,1
